"Year","Area_type","Area_code","Area_description","Ethnic_group_total_responses_code","Ethnic_group_total_responses_description","Census_usually_resident_population_count","Ethnic_group_total_responses_percent"
2018,"Regional Council","12","West Coast Region","2","Maori","3687"," 11.7"
2018,"Regional Council","12","West Coast Region","3","Pacific peoples","477","  1.5"
2018,"Regional Council","12","West Coast Region","4","Asian","1068","  3.4"
2018,"Regional Council","12","West Coast Region","5","Middle Eastern/Latin American/African","168","  0.5"
2018,"Regional Council","12","West Coast Region","6","Other ethnicity","576","  1.8"
2018,"Regional Council","12","West Coast Region","9","Not elsewhere included","0",".."
2018,"Regional Council","12","West Coast Region","Total","Total","31575",".."
2018,"Regional Council","12","West Coast Region","Total stated","Total stated","31575","100.0"
2018,"Regional Council","13","Canterbury Region","1","European","494340"," 82.4"
2018,"Regional Council","13","Canterbury Region","2","Maori","56298","  9.4"
2018,"Regional Council","13","Canterbury Region","3","Pacific peoples","18927","  3.2"
2018,"Regional Council","13","Canterbury Region","4","Asian","66672"," 11.1"
2018,"Regional Council","13","Canterbury Region","5","Middle Eastern/Latin American/African","7314","  1.2"
2018,"Regional Council","13","Canterbury Region","6","Other ethnicity","8307","  1.4"
2018,"Regional Council","13","Canterbury Region","9","Not elsewhere included","0",".."
2018,"Regional Council","13","Canterbury Region","Total","Total","599694",".."
2018,"Regional Council","13","Canterbury Region","Total stated","Total stated","599694","100.0"
2018,"Regional Council","14","Otago Region","1","European","195720"," 86.9"
2018,"Regional Council","14","Otago Region","2","Maori","19521","  8.7"
2018,"Regional Council","14","Otago Region","3","Pacific peoples","6099","  2.7"
2018,"Regional Council","14","Otago Region","4","Asian","15987","  7.1"
2018,"Regional Council","14","Otago Region","5","Middle Eastern/Latin American/African","4014","  1.8"
2018,"Regional Council","14","Otago Region","6","Other ethnicity","3054","  1.4"
2018,"Regional Council","14","Otago Region","9","Not elsewhere included","0",".."
2018,"Regional Council","14","Otago Region","Total","Total","225186",".."
2018,"Regional Council","14","Otago Region","Total stated","Total stated","225186","100.0"
2018,"Regional Council","15","Southland Region","1","European","84324"," 86.5"
2018,"Regional Council","15","Southland Region","2","Maori","14484"," 14.9"
2018,"Regional Council","15","Southland Region","3","Pacific peoples","2523","  2.6"
2018,"Regional Council","15","Southland Region","4","Asian","5406","  5.5"
2018,"Regional Council","15","Southland Region","5","Middle Eastern/Latin American/African","540","  0.6"
2018,"Regional Council","15","Southland Region","6","Other ethnicity","1428","  1.5"
2018,"Regional Council","15","Southland Region","9","Not elsewhere included","0",".."
2018,"Regional Council","15","Southland Region","Total","Total","97467",".."
2018,"Regional Council","15","Southland Region","Total stated","Total stated","97467","100.0"
2018,"Regional Council","16","Tasman Region","1","European","48534"," 92.6"
2018,"Regional Council","16","Tasman Region","2","Maori","4572","  8.7"
2018,"Regional Council","16","Tasman Region","3","Pacific peoples","861","  1.6"
2018,"Regional Council","16","Tasman Region","4","Asian","1452","  2.8"
2018,"Regional Council","16","Tasman Region","5","Middle Eastern/Latin American/African","246","  0.5"
2018,"Regional Council","16","Tasman Region","6","Other ethnicity","792","  1.5"
2018,"Regional Council","16","Tasman Region","9","Not elsewhere included","0",".."
2018,"Regional Council","16","Tasman Region","Total","Total","52389",".."
2018,"Regional Council","16","Tasman Region","Total stated","Total stated","52389","100.0"
2018,"Regional Council","17","Nelson Region","1","European","44124"," 86.7"
2018,"Regional Council","17","Nelson Region","2","Maori","5421"," 10.7"
2018,"Regional Council","17","Nelson Region","3","Pacific peoples","1194","  2.3"
2018,"Regional Council","17","Nelson Region","4","Asian","3591","  7.1"
2018,"Regional Council","17","Nelson Region","5","Middle Eastern/Latin American/African","432","  0.8"
2018,"Regional Council","17","Nelson Region","6","Other ethnicity","747","  1.5"
2018,"Regional Council","17","Nelson Region","9","Not elsewhere included","0",".."
2018,"Regional Council","17","Nelson Region","Total","Total","50880",".."
2018,"Regional Council","17","Nelson Region","Total stated","Total stated","50880","100.0"
2018,"Regional Council","18","Marlborough Region","1","European","41571"," 87.8"
2018,"Regional Council","18","Marlborough Region","2","Maori","6318"," 13.3"
2018,"Regional Council","18","Marlborough Region","3","Pacific peoples","1464","  3.1"
2018,"Regional Council","18","Marlborough Region","4","Asian","1929","  4.1"
2018,"Regional Council","18","Marlborough Region","5","Middle Eastern/Latin American/African","402","  0.8"
2018,"Regional Council","18","Marlborough Region","6","Other ethnicity","771","  1.6"
2018,"Regional Council","18","Marlborough Region","9","Not elsewhere included","0",".."
2018,"Regional Council","18","Marlborough Region","Total","Total","47340",".."
2018,"Regional Council","18","Marlborough Region","Total stated","Total stated","47340","100.0"
2018,"Regional Council","99","Area Outside Region","1","European","498"," 74.4"
2018,"Regional Council","99","Area Outside Region","2","Maori","438"," 65.5"
2018,"Regional Council","99","Area Outside Region","3","Pacific peoples","9","  1.3"
2018,"Regional Council","99","Area Outside Region","4","Asian","6","  0.9"
2018,"Regional Council","99","Area Outside Region","5","Middle Eastern/Latin American/African","0","  0.0"
2018,"Regional Council","99","Area Outside Region","6","Other ethnicity","18","  2.7"
2018,"Regional Council","99","Area Outside Region","9","Not elsewhere included","0",".."
2018,"Regional Council","99","Area Outside Region","Total","Total","669",".."
2018,"Regional Council","99","Area Outside Region","Total stated","Total stated","669","100.0"
2018,"Regional Council","Total","Total","1","European","3297864"," 70.2"
2018,"Regional Council","Total","Total","2","Maori","775836"," 16.5"
2018,"Regional Council","Total","Total","3","Pacific peoples","381642","  8.1"
2018,"Regional Council","Total","Total","4","Asian","707598"," 15.1"
2018,"Regional Council","Total","Total","5","Middle Eastern/Latin American/African","70332","  1.5"
2018,"Regional Council","Total","Total","6","Other ethnicity","58053","  1.2"
2018,"Regional Council","Total","Total","9","Not elsewhere included","0",".."
2018,"Regional Council","Total","Total","Total","Total","4699755",".."
2018,"Regional Council","Total","Total","Total stated","Total stated","4699755","100.0"
2018,"Statistical Area 2","100100","North Cape","1","European","867"," 54.1"
2018,"Statistical Area 2","100100","North Cape","2","Maori","933"," 58.2"
2018,"Statistical Area 2","100100","North Cape","3","Pacific peoples","81","  5.1"
2018,"Statistical Area 2","100100","North Cape","4","Asian","24","  1.5"
2018,"Statistical Area 2","100100","North Cape","5","Middle Eastern/Latin American/African","3","  0.2"
2018,"Statistical Area 2","100100","North Cape","6","Other ethnicity","18","  1.1"
2018,"Statistical Area 2","100100","North Cape","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","100100","North Cape","Total","Total","1602",".."
2018,"Statistical Area 2","100100","North Cape","Total stated","Total stated","1602","100.0"
2018,"Statistical Area 2","100200","Rangaunu Harbour","1","European","1509"," 65.3"
2018,"Statistical Area 2","100200","Rangaunu Harbour","2","Maori","1401"," 60.6"
2018,"Statistical Area 2","100200","Rangaunu Harbour","3","Pacific peoples","108","  4.7"
2018,"Statistical Area 2","100200","Rangaunu Harbour","4","Asian","51","  2.2"
2018,"Statistical Area 2","100200","Rangaunu Harbour","5","Middle Eastern/Latin American/African","3","  0.1"
2018,"Statistical Area 2","100200","Rangaunu Harbour","6","Other ethnicity","36","  1.6"
2018,"Statistical Area 2","100200","Rangaunu Harbour","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","100200","Rangaunu Harbour","Total","Total","2310",".."
2018,"Statistical Area 2","100200","Rangaunu Harbour","Total stated","Total stated","2310","100.0"
2018,"Statistical Area 2","100300","Inlets Far North District","1","European","45","100.0"
2018,"Statistical Area 2","100300","Inlets Far North District","2","Maori","0","  0.0"
2018,"Statistical Area 2","100300","Inlets Far North District","3","Pacific peoples","0","  0.0"
2018,"Statistical Area 2","100300","Inlets Far North District","4","Asian","0","  0.0"
2018,"Statistical Area 2","100300","Inlets Far North District","5","Middle Eastern/Latin American/African","0","  0.0"
2018,"Statistical Area 2","100300","Inlets Far North District","6","Other ethnicity","0","  0.0"
2018,"Statistical Area 2","100300","Inlets Far North District","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","100300","Inlets Far North District","Total","Total","45",".."
2018,"Statistical Area 2","100300","Inlets Far North District","Total stated","Total stated","45","100.0"
2018,"Statistical Area 2","100400","Karikari Peninsula","1","European","870"," 69.5"
2018,"Statistical Area 2","100400","Karikari Peninsula","2","Maori","555"," 44.4"
2018,"Statistical Area 2","100400","Karikari Peninsula","3","Pacific peoples","72","  5.8"
2018,"Statistical Area 2","100400","Karikari Peninsula","4","Asian","18","  1.4"
2018,"Statistical Area 2","100400","Karikari Peninsula","5","Middle Eastern/Latin American/African","3","  0.2"
2018,"Statistical Area 2","100400","Karikari Peninsula","6","Other ethnicity","21","  1.7"
2018,"Statistical Area 2","100400","Karikari Peninsula","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","100400","Karikari Peninsula","Total","Total","1251",".."
2018,"Statistical Area 2","100400","Karikari Peninsula","Total stated","Total stated","1251","100.0"
2018,"Statistical Area 2","100500","Tangonge","1","European","711"," 62.7"
2018,"Statistical Area 2","100500","Tangonge","2","Maori","675"," 59.5"
2018,"Statistical Area 2","100500","Tangonge","3","Pacific peoples","48","  4.2"
2018,"Statistical Area 2","100500","Tangonge","4","Asian","12","  1.1"
2018,"Statistical Area 2","100500","Tangonge","5","Middle Eastern/Latin American/African","9","  0.8"
2018,"Statistical Area 2","100500","Tangonge","6","Other ethnicity","15","  1.3"
2018,"Statistical Area 2","100500","Tangonge","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","100500","Tangonge","Total","Total","1134",".."
2018,"Statistical Area 2","100500","Tangonge","Total stated","Total stated","1134","100.0"
2018,"Statistical Area 2","100600","Ahipara","1","European","747"," 60.7"
2018,"Statistical Area 2","100600","Ahipara","2","Maori","753"," 61.2"
2018,"Statistical Area 2","100600","Ahipara","3","Pacific peoples","72","  5.9"
2018,"Statistical Area 2","100600","Ahipara","4","Asian","24","  2.0"
2018,"Statistical Area 2","100600","Ahipara","5","Middle Eastern/Latin American/African","18","  1.5"
2018,"Statistical Area 2","100600","Ahipara","6","Other ethnicity","9","  0.7"
2018,"Statistical Area 2","100600","Ahipara","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","100600","Ahipara","Total","Total","1230",".."
2018,"Statistical Area 2","100600","Ahipara","Total stated","Total stated","1230","100.0"
2018,"Statistical Area 2","100700","Kaitaia East","1","European","1158"," 48.5"
2018,"Statistical Area 2","100700","Kaitaia East","2","Maori","1602"," 67.1"
2018,"Statistical Area 2","100700","Kaitaia East","3","Pacific peoples","162","  6.8"
2018,"Statistical Area 2","100700","Kaitaia East","4","Asian","135","  5.7"
2018,"Statistical Area 2","100700","Kaitaia East","5","Middle Eastern/Latin American/African","12","  0.5"
2018,"Statistical Area 2","100700","Kaitaia East","6","Other ethnicity","21","  0.9"
2018,"Statistical Area 2","100700","Kaitaia East","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","100700","Kaitaia East","Total","Total","2388",".."
2018,"Statistical Area 2","100700","Kaitaia East","Total stated","Total stated","2388","100.0"
2018,"Statistical Area 2","100800","Kaitaia West","1","European","1770"," 50.8"
2018,"Statistical Area 2","100800","Kaitaia West","2","Maori","2268"," 65.1"
2018,"Statistical Area 2","100800","Kaitaia West","3","Pacific peoples","300","  8.6"
2018,"Statistical Area 2","100800","Kaitaia West","4","Asian","171","  4.9"
2018,"Statistical Area 2","100800","Kaitaia West","5","Middle Eastern/Latin American/African","15","  0.4"
2018,"Statistical Area 2","100800","Kaitaia West","6","Other ethnicity","24","  0.7"
2018,"Statistical Area 2","100800","Kaitaia West","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","100800","Kaitaia West","Total","Total","3483",".."
2018,"Statistical Area 2","100800","Kaitaia West","Total stated","Total stated","3483","100.0"
2018,"Statistical Area 2","100900","Rangitihi","1","European","636"," 67.9"
2018,"Statistical Area 2","100900","Rangitihi","2","Maori","459"," 49.0"
2018,"Statistical Area 2","100900","Rangitihi","3","Pacific peoples","36","  3.8"
2018,"Statistical Area 2","100900","Rangitihi","4","Asian","21","  2.2"
2018,"Statistical Area 2","100900","Rangitihi","5","Middle Eastern/Latin American/African","0","  0.0"
2018,"Statistical Area 2","100900","Rangitihi","6","Other ethnicity","12","  1.3"
2018,"Statistical Area 2","100900","Rangitihi","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","100900","Rangitihi","Total","Total","936",".."
2018,"Statistical Area 2","100900","Rangitihi","Total stated","Total stated","936","100.0"
2018,"Statistical Area 2","101000","Oruru-Parapara","1","European","624"," 73.8"
2018,"Statistical Area 2","101000","Oruru-Parapara","2","Maori","351"," 41.5"
2018,"Statistical Area 2","101000","Oruru-Parapara","3","Pacific peoples","33","  3.9"
2018,"Statistical Area 2","101000","Oruru-Parapara","4","Asian","18","  2.1"
2018,"Statistical Area 2","101000","Oruru-Parapara","5","Middle Eastern/Latin American/African","6","  0.7"
2018,"Statistical Area 2","101000","Oruru-Parapara","6","Other ethnicity","18","  2.1"
2018,"Statistical Area 2","101000","Oruru-Parapara","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","101000","Oruru-Parapara","Total","Total","846",".."
2018,"Statistical Area 2","101000","Oruru-Parapara","Total stated","Total stated","846","100.0"
2018,"Statistical Area 2","101100","Taumarumaru","1","European","1725"," 78.7"
2018,"Statistical Area 2","101100","Taumarumaru","2","Maori","672"," 30.6"
2018,"Statistical Area 2","101100","Taumarumaru","3","Pacific peoples","99","  4.5"
2018,"Statistical Area 2","101100","Taumarumaru","4","Asian","66","  3.0"
2018,"Statistical Area 2","101100","Taumarumaru","5","Middle Eastern/Latin American/African","9","  0.4"
2018,"Statistical Area 2","101100","Taumarumaru","6","Other ethnicity","30","  1.4"
2018,"Statistical Area 2","101100","Taumarumaru","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","101100","Taumarumaru","Total","Total","2193",".."
2018,"Statistical Area 2","101100","Taumarumaru","Total stated","Total stated","2193","100.0"
2018,"Statistical Area 2","101200","Herekino-Takahue","1","European","618"," 64.2"
2018,"Statistical Area 2","101200","Herekino-Takahue","2","Maori","504"," 52.3"
2018,"Statistical Area 2","101200","Herekino-Takahue","3","Pacific peoples","39","  4.0"
2018,"Statistical Area 2","101200","Herekino-Takahue","4","Asian","9","  0.9"
2018,"Statistical Area 2","101200","Herekino-Takahue","5","Middle Eastern/Latin American/African","6","  0.6"
2018,"Statistical Area 2","101200","Herekino-Takahue","6","Other ethnicity","9","  0.9"
2018,"Statistical Area 2","101200","Herekino-Takahue","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","101200","Herekino-Takahue","Total","Total","963",".."
2018,"Statistical Area 2","101200","Herekino-Takahue","Total stated","Total stated","963","100.0"
2018,"Statistical Area 2","101300","Peria","1","European","822"," 74.3"
2018,"Statistical Area 2","101300","Peria","2","Maori","444"," 40.1"
2018,"Statistical Area 2","101300","Peria","3","Pacific peoples","33","  3.0"
2018,"Statistical Area 2","101300","Peria","4","Asian","30","  2.7"
2018,"Statistical Area 2","101300","Peria","5","Middle Eastern/Latin American/African","3","  0.3"
2018,"Statistical Area 2","101300","Peria","6","Other ethnicity","27","  2.4"
2018,"Statistical Area 2","101300","Peria","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","101300","Peria","Total","Total","1107",".."
2018,"Statistical Area 2","101300","Peria","Total stated","Total stated","1107","100.0"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","1","European","657"," 75.8"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","2","Maori","342"," 39.4"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","3","Pacific peoples","18","  2.1"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","4","Asian","27","  3.1"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","5","Middle Eastern/Latin American/African","0","  0.0"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","6","Other ethnicity","15","  1.7"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","Total","Total","867",".."
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","Total stated","Total stated","867","100.0"
2018,"Statistical Area 2","101500","Whakapaku","1","European","567"," 76.2"
2018,"Statistical Area 2","101500","Whakapaku","2","Maori","348"," 46.8"
2018,"Statistical Area 2","101500","Whakapaku","3","Pacific peoples","18","  2.4"
2018,"Statistical Area 2","101500","Whakapaku","4","Asian","12","  1.6"
2018,"Statistical Area 2","101500","Whakapaku","5","Middle Eastern/Latin American/African","0","  0.0"
2018,"Statistical Area 2","101500","Whakapaku","6","Other ethnicity","6","  0.8"
2018,"Statistical Area 2","101500","Whakapaku","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","101500","Whakapaku","Total","Total","744",".."
2018,"Statistical Area 2","101500","Whakapaku","Total stated","Total stated","744","100.0"
2018,"Statistical Area 2","101600","Hokianga North","1","European","201"," 25.3"
2018,"Statistical Area 2","101600","Hokianga North","2","Maori","684"," 86.0"
2018,"Statistical Area 2","101600","Hokianga North","3","Pacific peoples","60","  7.5"
2018,"Statistical Area 2","101600","Hokianga North","4","Asian","6","  0.8"
2018,"Statistical Area 2","101600","Hokianga North","5","Middle Eastern/Latin American/African","0","  0.0"
2018,"Statistical Area 2","101600","Hokianga North","6","Other ethnicity","3","  0.4"
2018,"Statistical Area 2","101600","Hokianga North","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","101600","Hokianga North","Total","Total","795",".."
2018,"Statistical Area 2","101600","Hokianga North","Total stated","Total stated","795","100.0"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","1","European","450"," 62.0"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","2","Maori","387"," 53.3"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","3","Pacific peoples","57","  7.9"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","4","Asian","24","  3.3"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","5","Middle Eastern/Latin American/African","3","  0.4"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","6","Other ethnicity","9","  1.2"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","Total","Total","726",".."
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","Total stated","Total stated","726","100.0"
2018,"Statistical Area 2","101800","Whakarara","1","European","762"," 56.7"
2018,"Statistical Area 2","101800","Whakarara","2","Maori","792"," 58.9"
2018,"Statistical Area 2","101800","Whakarara","3","Pacific peoples","57","  4.2"
2018,"Statistical Area 2","101800","Whakarara","4","Asian","24","  1.8"
2018,"Statistical Area 2","101800","Whakarara","5","Middle Eastern/Latin American/African","3","  0.2"
2018,"Statistical Area 2","101800","Whakarara","6","Other ethnicity","15","  1.1"
2018,"Statistical Area 2","101800","Whakarara","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","101800","Whakarara","Total","Total","1344",".."
2018,"Statistical Area 2","101800","Whakarara","Total stated","Total stated","1344","100.0"
2018,"Statistical Area 2","101900","Kaeo","1","European","777"," 65.2"
2018,"Statistical Area 2","101900","Kaeo","2","Maori","606"," 50.9"
2018,"Statistical Area 2","101900","Kaeo","3","Pacific peoples","51","  4.3"
2018,"Statistical Area 2","101900","Kaeo","4","Asian","9","  0.8"
2018,"Statistical Area 2","101900","Kaeo","5","Middle Eastern/Latin American/African","0","  0.0"
2018,"Statistical Area 2","101900","Kaeo","6","Other ethnicity","15","  1.3"
2018,"Statistical Area 2","101900","Kaeo","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","101900","Kaeo","Total","Total","1191",".."
2018,"Statistical Area 2","101900","Kaeo","Total stated","Total stated","1191","100.0"
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","1","European","537"," 50.9"
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","2","Maori","687"," 65.1"
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","3","Pacific peoples","39","  3.7"
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","4","Asian","18","  1.7"
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","5","Middle Eastern/Latin American/African","0","  0.0"
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","6","Other ethnicity","6","  0.6"
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","Total","Total","1056",".."
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","Total stated","Total stated","1056","100.0"
2018,"Statistical Area 2","102100","Hokianga South","1","European","648"," 52.4"
2018,"Statistical Area 2","102100","Hokianga South","2","Maori","780"," 63.1"
2018,"Statistical Area 2","102100","Hokianga South","3","Pacific peoples","78","  6.3"
2018,"Statistical Area 2","102100","Hokianga South","4","Asian","18","  1.5"
2018,"Statistical Area 2","102100","Hokianga South","5","Middle Eastern/Latin American/African","3","  0.2"
2018,"Statistical Area 2","102100","Hokianga South","6","Other ethnicity","15","  1.2"
2018,"Statistical Area 2","102100","Hokianga South","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","102100","Hokianga South","Total","Total","1236",".."
2018,"Statistical Area 2","102100","Hokianga South","Total stated","Total stated","1236","100.0"
2018,"Statistical Area 2","102200","Lake Manuwai-Kapiro","1","European","1947"," 91.3"
2018,"Statistical Area 2","102200","Lake Manuwai-Kapiro","2","Maori","354"," 16.6"
2018,"Statistical Area 2","102200","Lake Manuwai-Kapiro","3","Pacific peoples","57","  2.7"
