Statistical area 2 code (2018 areas),Statistical area 2 description,Territorial authority code (2018 areas) ,Territorial authority description,Local board code (2018 areas),Local board description,Ward code (2018 areas),Ward description,District health board code (2015 areas),District health board description,Regional council code (2018 areas) ,Regional council description
102800,Riverview,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
103000,Kerikeri Central,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
103700,Haruru,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
103900,Paihia,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
103800,Russell,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
104200,Russell Peninsula,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
103400,Ngapuhi,001,Far North District,..,..,00103,Kaikohe-Hokianga Ward,01,Northland,01,Northland Region
104100,Matawaia-Taumarere,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
103600,Pakaraka,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
103600,Pakaraka,001,Far North District,..,..,00103,Kaikohe-Hokianga Ward,01,Northland,01,Northland Region
104300,Opua (Far North District),001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
102100,Hokianga South,001,Far North District,..,..,00103,Kaikohe-Hokianga Ward,01,Northland,01,Northland Region
102700,Waima Forest,001,Far North District,..,..,00103,Kaikohe-Hokianga Ward,01,Northland,01,Northland Region
104000,Mataraua Forest,001,Far North District,..,..,00103,Kaikohe-Hokianga Ward,01,Northland,01,Northland Region
103500,Kaikohe,001,Far North District,..,..,00103,Kaikohe-Hokianga Ward,01,Northland,01,Northland Region
104500,Moerewa,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
104600,Kawakawa,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
104700,Maromaku,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
102900,Waipoua Forest,001,Far North District,..,..,00103,Kaikohe-Hokianga Ward,01,Northland,01,Northland Region
104900,Whangaruru,002,Whangarei District,..,..,00202,Hikurangi-Coastal Ward,01,Northland,01,Northland Region
105000,Inlets other Whangarei District,002,Whangarei District,..,..,00202,Hikurangi-Coastal Ward,01,Northland,01,Northland Region
105000,Inlets other Whangarei District,002,Whangarei District,..,..,00203,Whangarei Heads Ward,01,Northland,01,Northland Region
104800,Mangakahia-Hukerenui,002,Whangarei District,..,..,00201,Mangakahia-Maungatapere Ward,01,Northland,01,Northland Region
104800,Mangakahia-Hukerenui,002,Whangarei District,..,..,00202,Hikurangi-Coastal Ward,01,Northland,01,Northland Region
105100,Matarau,002,Whangarei District,..,..,00202,Hikurangi-Coastal Ward,01,Northland,01,Northland Region
105100,Matarau,002,Whangarei District,..,..,00201,Mangakahia-Maungatapere Ward,01,Northland,01,Northland Region
105300,Kauri,002,Whangarei District,..,..,00202,Hikurangi-Coastal Ward,01,Northland,01,Northland Region
105100,Matarau,002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
105200,Hikurangi,002,Whangarei District,..,..,00202,Hikurangi-Coastal Ward,01,Northland,01,Northland Region
105700,Kiripaka,002,Whangarei District,..,..,00202,Hikurangi-Coastal Ward,01,Northland,01,Northland Region
105700,Kiripaka,002,Whangarei District,..,..,00203,Whangarei Heads Ward,01,Northland,01,Northland Region
105600,Matapouri-Tutukaka,002,Whangarei District,..,..,00202,Hikurangi-Coastal Ward,01,Northland,01,Northland Region
107600,Ngunguru,002,Whangarei District,..,..,00202,Hikurangi-Coastal Ward,01,Northland,01,Northland Region
105400,Maungatapere,002,Whangarei District,..,..,00201,Mangakahia-Maungatapere Ward,01,Northland,01,Northland Region
105400,Maungatapere,002,Whangarei District,..,..,00206,Bream Bay Ward,01,Northland,01,Northland Region
106300,Pukenui,002,Whangarei District,..,..,00201,Mangakahia-Maungatapere Ward,01,Northland,01,Northland Region
105900,Granfield Reserve,002,Whangarei District,..,..,00204,Denby Ward,01,Northland,01,Northland Region
105900,Granfield Reserve,002,Whangarei District,..,..,00201,Mangakahia-Maungatapere Ward,01,Northland,01,Northland Region
106900,Maunu-Horahora,002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
105500,Kamo West,002,Whangarei District,..,..,00202,Hikurangi-Coastal Ward,01,Northland,01,Northland Region
105500,Kamo West,002,Whangarei District,..,..,00204,Denby Ward,01,Northland,01,Northland Region
106100,Whau Valley,002,Whangarei District,..,..,00204,Denby Ward,01,Northland,01,Northland Region
105800,Kamo East,002,Whangarei District,..,..,00204,Denby Ward,01,Northland,01,Northland Region
106000,Kamo Central,002,Whangarei District,..,..,00204,Denby Ward,01,Northland,01,Northland Region
106600,Kensington (Whangarei District),002,Whangarei District,..,..,00204,Denby Ward,01,Northland,01,Northland Region
106600,Kensington (Whangarei District),002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
107000,Woodhill-Vinetown,002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
106200,Tikipunga North,002,Whangarei District,..,..,00204,Denby Ward,01,Northland,01,Northland Region
106400,Otangarei,002,Whangarei District,..,..,00204,Denby Ward,01,Northland,01,Northland Region
106800,Mairtown,002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
107100,Whangarei Central,002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
107000,Woodhill-Vinetown,002,Whangarei District,..,..,00204,Denby Ward,01,Northland,01,Northland Region
106500,Tikipunga South,002,Whangarei District,..,..,00204,Denby Ward,01,Northland,01,Northland Region
106800,Mairtown,002,Whangarei District,..,..,00204,Denby Ward,01,Northland,01,Northland Region
107200,Riverside,002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
106700,Abbey Caves-Glenbervie,002,Whangarei District,..,..,00202,Hikurangi-Coastal Ward,01,Northland,01,Northland Region
106700,Abbey Caves-Glenbervie,002,Whangarei District,..,..,00203,Whangarei Heads Ward,01,Northland,01,Northland Region
108500,Parua Bay,002,Whangarei District,..,..,00203,Whangarei Heads Ward,01,Northland,01,Northland Region
108000,Pataua,002,Whangarei District,..,..,00203,Whangarei Heads Ward,01,Northland,01,Northland Region
107800,Oakleigh-Mangapai,002,Whangarei District,..,..,00206,Bream Bay Ward,01,Northland,01,Northland Region
107700,Otaika-Portland,002,Whangarei District,..,..,00206,Bream Bay Ward,01,Northland,01,Northland Region
107300,Raumanga,002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
107400,Tarewa,002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
107300,Raumanga,002,Whangarei District,..,..,00206,Bream Bay Ward,01,Northland,01,Northland Region
107500,Morningside (Whangarei District),002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
107900,Port-Limeburners,002,Whangarei District,..,..,00206,Bream Bay Ward,01,Northland,01,Northland Region
107900,Port-Limeburners,002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
108600,Bream Bay,002,Whangarei District,..,..,00206,Bream Bay Ward,01,Northland,01,Northland Region
108100,Onerahi Park,002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
108200,Sherwood Rise,002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
108300,Onerahi,002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
108100,Onerahi Park,002,Whangarei District,..,..,00203,Whangarei Heads Ward,01,Northland,01,Northland Region
108400,Inlet Whangarei Harbour,002,Whangarei District,..,..,00206,Bream Bay Ward,01,Northland,01,Northland Region
108400,Inlet Whangarei Harbour,002,Whangarei District,..,..,00203,Whangarei Heads Ward,01,Northland,01,Northland Region
108400,Inlet Whangarei Harbour,002,Whangarei District,..,..,00205,Okara Ward,01,Northland,01,Northland Region
108700,Marsden Bay,002,Whangarei District,..,..,00206,Bream Bay Ward,01,Northland,01,Northland Region
108900,Bream Head,002,Whangarei District,..,..,00203,Whangarei Heads Ward,01,Northland,01,Northland Region
108900,Bream Head,002,Whangarei District,..,..,00206,Bream Bay Ward,01,Northland,01,Northland Region
108800,Ruakaka,002,Whangarei District,..,..,00206,Bream Bay Ward,01,Northland,01,Northland Region
109000,Waipu,002,Whangarei District,..,..,00206,Bream Bay Ward,01,Northland,01,Northland Region
109100,Kaipara Coastal,003,Kaipara District,..,..,00302,West Coast-Central Ward,01,Northland,01,Northland Region
109200,Maungaru,003,Kaipara District,..,..,00302,West Coast-Central Ward,01,Northland,01,Northland Region
109300,Dargaville,003,Kaipara District,..,..,00301,Dargaville Ward,01,Northland,01,Northland Region
109400,Ruawai-Matakohe,003,Kaipara District,..,..,00302,West Coast-Central Ward,01,Northland,01,Northland Region
109400,Ruawai-Matakohe,003,Kaipara District,..,..,00303,Otamatea Ward,01,Northland,01,Northland Region
109500,Otamatea (Kaipara District),003,Kaipara District,..,..,00303,Otamatea Ward,01,Northland,01,Northland Region
109500,Otamatea (Kaipara District),003,Kaipara District,..,..,00302,West Coast-Central Ward,01,Northland,01,Northland Region
109700,Kaiwaka,003,Kaipara District,..,..,00303,Otamatea Ward,01,Northland,01,Northland Region
109600,Maungaturoto,003,Kaipara District,..,..,00303,Otamatea Ward,01,Northland,01,Northland Region
109800,Mangawhai Rural,003,Kaipara District,..,..,00303,Otamatea Ward,01,Northland,01,Northland Region
109900,Mangawhai Heads,003,Kaipara District,..,..,00303,Otamatea Ward,01,Northland,01,Northland Region
110000,Inlet Mangawhai Harbour,003,Kaipara District,..,..,00303,Otamatea Ward,01,Northland,01,Northland Region
110100,Mangawhai,003,Kaipara District,..,..,00303,Otamatea Ward,01,Northland,01,Northland Region
110600,Oceanic Auckland Region East,076,Auckland,07605,Devonport-Takapuna Local Board Area,07603,North Shore Ward,99,Area Outside District Health Board,02,Auckland Region
110600,Oceanic Auckland Region East,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,99,Area Outside District Health Board,02,Auckland Region
110600,Oceanic Auckland Region East,076,Auckland,07614,Orakei Local Board Area,07608,Orakei Ward,99,Area Outside District Health Board,02,Auckland Region
110600,Oceanic Auckland Region East,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,99,Area Outside District Health Board,02,Auckland Region
110600,Oceanic Auckland Region East,076,Auckland,07609,Waiheke Local Board Area,07605,Waitemata and Gulf Ward,99,Area Outside District Health Board,02,Auckland Region
110600,Oceanic Auckland Region East,076,Auckland,07616,Howick Local Board Area,07610,Howick Ward,99,Area Outside District Health Board,02,Auckland Region
110600,Oceanic Auckland Region East,076,Auckland,07621,Franklin Local Board Area,07613,Franklin Ward,99,Area Outside District Health Board,02,Auckland Region
110600,Oceanic Auckland Region East,076,Auckland,07608,Great Barrier Local Board Area,07605,Waitemata and Gulf Ward,99,Area Outside District Health Board,02,Auckland Region
111800,Barrier Islands,076,Auckland,07608,Great Barrier Local Board Area,07605,Waitemata and Gulf Ward,03,Auckland,02,Auckland Region
110400,Cape Rodney,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
112000,Inlets other Auckland,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
112000,Inlets other Auckland,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
112000,Inlets other Auckland,076,Auckland,07605,Devonport-Takapuna Local Board Area,07603,North Shore Ward,99,Area Outside District Health Board,02,Auckland Region
112000,Inlets other Auckland,076,Auckland,07615,Maungakiekie-Tamaki Local Board Area,07609,Maungakiekie-Tamaki Ward,03,Auckland,02,Auckland Region
112000,Inlets other Auckland,076,Auckland,07617,Mangere-Otahuhu Local Board Area,07611,Manukau Ward,99,Area Outside District Health Board,02,Auckland Region
112000,Inlets other Auckland,076,Auckland,07618,Otara-Papatoetoe Local Board Area,07611,Manukau Ward,04,Counties Manukau,02,Auckland Region
112000,Inlets other Auckland,076,Auckland,07616,Howick Local Board Area,07610,Howick Ward,04,Counties Manukau,02,Auckland Region
112000,Inlets other Auckland,076,Auckland,07615,Maungakiekie-Tamaki Local Board Area,07609,Maungakiekie-Tamaki Ward,99,Area Outside District Health Board,02,Auckland Region
112000,Inlets other Auckland,076,Auckland,07615,Maungakiekie-Tamaki Local Board Area,07609,Maungakiekie-Tamaki Ward,04,Counties Manukau,02,Auckland Region
112000,Inlets other Auckland,076,Auckland,07614,Orakei Local Board Area,07608,Orakei Ward,99,Area Outside District Health Board,02,Auckland Region
112000,Inlets other Auckland,076,Auckland,07616,Howick Local Board Area,07610,Howick Ward,99,Area Outside District Health Board,02,Auckland Region
112000,Inlets other Auckland,076,Auckland,07621,Franklin Local Board Area,07613,Franklin Ward,04,Counties Manukau,02,Auckland Region
112000,Inlets other Auckland,076,Auckland,07608,Great Barrier Local Board Area,07605,Waitemata and Gulf Ward,99,Area Outside District Health Board,02,Auckland Region
110200,Okahukura Peninsula,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
110300,Inlet Kaipara Harbour South,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
110300,Inlet Kaipara Harbour South,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,99,Area Outside District Health Board,02,Auckland Region
110800,Kaipara Hills,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
110500,Wellsford,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
110900,Dome Valley-Matakana,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
111100,Warkworth West,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
111500,Tawharanui Peninsula,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
111000,Oceanic Auckland Region West,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,99,Area Outside District Health Board,02,Auckland Region
110700,South Head,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
111000,Oceanic Auckland Region West,076,Auckland,07607,Waitakere Ranges Local Board Area,07604,Waitakere Ward,99,Area Outside District Health Board,02,Auckland Region
111000,Oceanic Auckland Region West,076,Auckland,07621,Franklin Local Board Area,07613,Franklin Ward,99,Area Outside District Health Board,02,Auckland Region
111200,Puhoi Valley,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
111300,Warkworth East,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
111400,Sandspit,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
114300,Gulf Islands,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
111700,Snells Beach,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
111900,Algies Bay-Scotts Landing,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
114300,Gulf Islands,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
114300,Gulf Islands,076,Auckland,07609,Waiheke Local Board Area,07605,Waitemata and Gulf Ward,03,Auckland,02,Auckland Region
114300,Gulf Islands,076,Auckland,07621,Franklin Local Board Area,07613,Franklin Ward,04,Counties Manukau,02,Auckland Region
112100,Wainui-Waiwera,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
112100,Wainui-Waiwera,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
112300,Helensville Rural,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
111600,Te Kuru,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
112500,Waitoki,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
113400,Dairy Flat North,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
112900,Orewa South,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
113100,Millwater North,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
113300,Millwater South,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
113800,Silverdale Central (Auckland),076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
114100,Silverdale South (Auckland),076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
112700,Orewa North,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
113600,Kingsway,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
112800,Hatfields Beach,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
113000,Orewa Central,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
113900,Red Beach West,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
114000,Red Beach East,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
114400,Vipond,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
114600,Stanmore Bay West,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
114900,Whangaparoa Central,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
115100,Stanmore Bay East,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
115200,Manly West,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
115400,Tindalls-Matakatia,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
115700,Gulf Harbour North,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
116000,Army Bay,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
116200,Gulf Harbour South,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
112200,Parakai,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
112400,Helensville,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
112600,Waikoukou Valley,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
113700,Riverhead Forest,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
113500,Dairy Flat West,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
115500,Coatesville,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
119300,Inlet Waitemata Harbour,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,99,Area Outside District Health Board,02,Auckland Region
119300,Inlet Waitemata Harbour,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
115600,Dairy Flat South,076,Auckland,07601,Rodney Local Board Area,07601,Rodney Ward,02,Waitemata,02,Auckland Region
116600,Paremoremo East,076,Auckland,07603,Upper Harbour Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
119300,Inlet Waitemata Harbour,076,Auckland,07603,Upper Harbour Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
119300,Inlet Waitemata Harbour,076,Auckland,07603,Upper Harbour Local Board Area,07602,Albany Ward,99,Area Outside District Health Board,02,Auckland Region
119300,Inlet Waitemata Harbour,076,Auckland,07606,Henderson-Massey Local Board Area,07604,Waitakere Ward,99,Area Outside District Health Board,02,Auckland Region
115500,Coatesville,076,Auckland,07603,Upper Harbour Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
115600,Dairy Flat South,076,Auckland,07603,Upper Harbour Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
116700,Albany Heights,076,Auckland,07603,Upper Harbour Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
119300,Inlet Waitemata Harbour,076,Auckland,07611,Whau Local Board Area,07606,Whau Ward,99,Area Outside District Health Board,02,Auckland Region
114800,Okura Bush,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
117300,Albany Central,076,Auckland,07603,Upper Harbour Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
119300,Inlet Waitemata Harbour,076,Auckland,07612,Albert-Eden Local Board Area,07607,Albert-Eden-Roskill Ward,99,Area Outside District Health Board,02,Auckland Region
116900,Fairview Heights,076,Auckland,07603,Upper Harbour Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
117600,Oteha East,076,Auckland,07603,Upper Harbour Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
117800,Oteha West,076,Auckland,07603,Upper Harbour Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
119300,Inlet Waitemata Harbour,076,Auckland,07604,Kaipatiki Local Board Area,07603,North Shore Ward,99,Area Outside District Health Board,02,Auckland Region
116500,Long Bay,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
116800,Awaruku,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
117700,Northcross,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
118200,Browns Bay South West,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
117200,Torbay,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
117500,Glamorgan,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
117900,Waiake,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
118300,Browns Bay Central,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
119000,Rothesay Bay,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
118700,Browns Bay South East,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
119300,Inlet Waitemata Harbour,076,Auckland,07605,Devonport-Takapuna Local Board Area,07603,North Shore Ward,99,Area Outside District Health Board,02,Auckland Region
119300,Inlet Waitemata Harbour,076,Auckland,07610,Waitemata Local Board Area,07605,Waitemata and Gulf Ward,99,Area Outside District Health Board,02,Auckland Region
115800,Manly East,076,Auckland,07602,Hibiscus and Bays Local Board Area,07602,Albany Ward,02,Waitemata,02,Auckland Region
119300,Inlet Waitemata Harbour,076,Auckland,07604,Kaipatiki Local Board Area,07603,North Shore Ward,02,Waitemata,02,Auckland Region
